Station,Date_parsed,Muntiacus_present,EVI_Silwood,distance_to_road
80,23/10/2025,1,0.1383242,39.89635
80,24/10/2025,0,0.1383242,39.89635
80,25/10/2025,0,0.1383242,39.89635
80,26/10/2025,1,0.1383242,39.89635
80,27/10/2025,1,0.1383242,39.89635
80,28/10/2025,0,0.1383242,39.89635
80,29/10/2025,0,0.1383242,39.89635
80,30/10/2025,0,0.1383242,39.89635
80,31/10/2025,0,0.1383242,39.89635
80,01/11/2025,0,0.1383242,39.89635
80,02/11/2025,0,0.1383242,39.89635
80,03/11/2025,0,0.1383242,39.89635
80,04/11/2025,0,0.1383242,39.89635
80,05/11/2025,0,0.1383242,39.89635
80,06/11/2025,0,0.1383242,39.89635
80,07/11/2025,0,0.1383242,39.89635
80,08/11/2025,0,0.1383242,39.89635
80,09/11/2025,0,0.1383242,39.89635
80,10/11/2025,0,0.1383242,39.89635
80,11/11/2025,0,0.1383242,39.89635
80,12/11/2025,0,0.1383242,39.89635
80,13/11/2025,0,0.1383242,39.89635
80,14/11/2025,0,0.1383242,39.89635
80,15/11/2025,0,0.1383242,39.89635
80,16/11/2025,0,0.1383242,39.89635
80,17/11/2025,0,0.1383242,39.89635
80,18/11/2025,0,0.1383242,39.89635
80,19/11/2025,0,0.1383242,39.89635
80,20/11/2025,0,0.1383242,39.89635
80,21/11/2025,0,0.1383242,39.89635
80,22/11/2025,0,0.1383242,39.89635
80,23/11/2025,0,0.1383242,39.89635
80,24/11/2025,0,0.1383242,39.89635
85,08/10/2025,0,0.679931127,171.86635
85,09/10/2025,0,0.679931127,171.86635
85,10/10/2025,0,0.679931127,171.86635
85,11/10/2025,1,0.679931127,171.86635
85,12/10/2025,0,0.679931127,171.86635
85,13/10/2025,0,0.679931127,171.86635
85,14/10/2025,0,0.679931127,171.86635
85,15/10/2025,0,0.679931127,171.86635
85,16/10/2025,1,0.679931127,171.86635
85,17/10/2025,0,0.679931127,171.86635
85,18/10/2025,0,0.679931127,171.86635
85,19/10/2025,0,0.679931127,171.86635
85,20/10/2025,0,0.679931127,171.86635
85,21/10/2025,0,0.679931127,171.86635
85,22/10/2025,0,0.679931127,171.86635
85,23/10/2025,0,0.679931127,171.86635
85,24/10/2025,0,0.679931127,171.86635
85,25/10/2025,1,0.679931127,171.86635
85,26/10/2025,0,0.679931127,171.86635
85,27/10/2025,0,0.679931127,171.86635
85,28/10/2025,1,0.679931127,171.86635
85,29/10/2025,0,0.679931127,171.86635
85,30/10/2025,0,0.679931127,171.86635
85,31/10/2025,0,0.679931127,171.86635
85,01/11/2025,0,0.679931127,171.86635
85,02/11/2025,0,0.679931127,171.86635
85,03/11/2025,0,0.679931127,171.86635
85,04/11/2025,0,0.679931127,171.86635
85,05/11/2025,0,0.679931127,171.86635
85,06/11/2025,1,0.679931127,171.86635
85,07/11/2025,0,0.679931127,171.86635
85,08/11/2025,0,0.679931127,171.86635
85,09/11/2025,0,0.679931127,171.86635
85,10/11/2025,0,0.679931127,171.86635
85,11/11/2025,1,0.679931127,171.86635
85,12/11/2025,1,0.679931127,171.86635
85,13/11/2025,0,0.679931127,171.86635
85,14/11/2025,1,0.679931127,171.86635
85,15/11/2025,1,0.679931127,171.86635
85,16/11/2025,0,0.679931127,171.86635
